 crop , area , prod , year , state 
13,1049,593,2009,1
13,1057,618,2010,1
13,1063,642,2011,1
13,1070,674,2012,1
13,1071,676,2013,1
13,11018,6751,2009,2
13,11118,6882,2010,2
13,11178,6963,2011,2
13,11191,7050,2012,2
13,11235,7112,2013,2
13,755,428,2009,3
13,768,454,2010,3
13,785,489,2011,3
13,796,501,2012,3
13,799,507,2013,3
13,1061,633,2009,4
13,1075,645,2010,4
13,1083,666,2011,4
13,1097,691,2012,4
13,1112,713,2013,4
13,488,259,2009,5
13,485,267,2010,5
13,491,263,2011,5
13,498,314,2012,5
13,496,316,2013,5
13,53,23,2009,6
13,51,21,2010,6
13,53,23,2011,6
13,51,26,2012,6
13,51,26,2013,6
13,2723,1520,2009,7
13,2768,1550,2010,7
13,2763,1569,2011,7
13,2769,1609,2012,7
13,2773,1619,2013,7
13,25,11,2009,8
13,22,10,2010,8
13,22,11,2011,8
13,22,13,2012,8
13,19,13,2013,8
13,3438,1725,2009,9
13,3443,1652,2010,9
13,3450,1681,2011,9
13,3466,1735,2012,9
13,3471,1752,2013,9
13,3385,1525,2009,10
13,3398,1536,2010,10
13,3416,1538,2011,10
13,3424,1651,2012,10
13,3434,1667,2013,10
13,600,286,2009,11
13,612,294,2010,11
13,620,299,2011,11
13,635,336,2012,11
13,638,340,2013,11
13,801,459,2009,12
13,809,461,2010,12
13,813,481,2011,12
13,821,496,2012,12
13,813,486,2013,12
13,76,26,2009,13
13,65,23,2010,13
13,66,25,2011,13
13,66,27,2012,13
13,63,24,2013,13
13,0,0,2009,14
13,0,0,2010,14
13,0,0,2011,14
13,0,0,2012,14
13,0,0,2013,14
13,0,0,2009,15
13,0,0,2010,15
13,0,0,2011,15
13,0,0,2012,15
13,0,0,2013,15
13,0,0,2009,16
13,0,0,2010,16
13,0,0,2011,16
13,0,0,2012,16
13,0,0,2013,16
13,0,0,2009,17
13,0,0,2010,17
13,0,0,2011,17
13,0,0,2012,17
13,0,0,2013,17
13,1222,543,2009,18
13,1235,466,2010,18
13,1241,478,2011,18
13,1266,517,2012,18
13,1275,539,2013,18
11,8974,49,2009,1
11,9997,45,2010,1
11,8413,45,2011,1
11,10166,47,2012,1
11,10201,45,2013,1
11,49,51,2009,2
11,45,46,2010,2
11,45,51,2011,2
11,47,56,2012,2
11,45,56,2013,2
11,19,18,2009,3
11,20,19,2010,3
11,20,23,2011,3
11,23,23,2012,3
11,23,24,2013,3
11,187,149,2009,4
11,175,158,2010,4
11,146,155,2011,4
11,150,164,2012,4
11,150,156,2013,4
11,364,341,2009,5
11,367,350,2010,5
11,335,336,2011,5
