ceral,area,product,year,state
1,111395,83932,2009,1
1,153725,148773,2010,1
1,133116,123237,2011,1
1,149113,145570,2012,1
1,151712,139519,2013,1
1,21664,17453,2009,2
1,31413,30132,2010,2
1,23036,25173,2011,2
1,26344,26913,2012,2
1,26033,24167,2013,2
1,27148,21582,2009,3
1,36649,34725,2010,3
1,31623,30326,2011,3
1,34985,28147,2012,3
1,35044,26318,2013,3
1,20609,18664,2009,4
1,28853,27249,2010,4
1,24116,20319,2011,4
1,27338,25617,2012,4
1,33781,26125,2013,4
1,28721,23438,2009,5
1,38773,36154,2010,5
1,34233,30092,2011,5
1,36114,32559,2012,5
1,34916,30917,2013,5
1,3672,3242,2009,6
1,4490,4604,2010,6
1,4369,4413,2011,6
1,4413,4500,2012,6
1,4396,4403,2013,6
1,58007,45858,2009,7
1,77630,72787,2010,7
1,69530,58038,2011,7
1,70358,60985,2012,7
1,69623,58336,2013,7
1,16389,11676,2009,8
1,21816,19630,2010,8
1,18319,14588,2011,8
1,19481,17377,2012,8
1,18540,16035,2013,8
1,10641,7883,2009,9
1,14721,13309,2010,9
1,12235,11031,2011,9
1,13131,12533,2012,9
1,13120,11816,2013,9
1,10309,7786,2009,10
1,13991,12576,2010,10
1,12025,10132,2011,10
1,13407,11379,2012,10
1,13445,11839,2013,10
1,7497,6326,2009,11
1,11513,10678,2010,11
1,9932,9319,2011,11
1,11203,9938,2012,11
1,11366,10154,2013,11
1,14230,12283,2009,12
1,20033,19121,2010,12
1,15339,13782,2011,12
1,14175,12377,2012,12
1,13922,11823,2013,12
1,11466,9354,2009,13
1,14625,13563,2010,13
1,12327,10831,2011,13
1,13105,11816,2012,13
1,13232,11920,2013,13
1,3724,3438,2009,14
1,4898,4631,2010,14
1,4308,4006,2011,14
1,4569,4139,2012,14
1,4577,4031,2013,14
1,3592,3308,2009,15
1,4646,4366,2010,15
1,4137,3712,2011,15
1,4414,4003,2012,15
1,4419,3869,2013,15
1,417,300,2009,16
1,473,392,2010,16
1,471,311,2011,16
1,473,383,2012,16
1,469,365,2013,16
1,143,98,2009,17
1,138,124,2010,17
1,139,102,2011,17
1,138,109,2012,17
1,133,99,2013,17
1,29423,23980,2009,18
1,41486,37116,2010,18
1,33912,30107,2011,18
1,38660,35945,2012,18
1,36716,33601,2013,18
3,2257,3484,2009,1
3,3137,5621,2010,1
3,2713,4102,2011,1
3,2952,4933,2012,1
3,2965,4833,2013,1
3,4117,5562,2009,2
3,5270,8009,2010,2
3,5187,7300,2011,2
3,5198,7791,2012,2
3,5098,7532,2013,2
3,7035,10999,2009,3
3,10316,15621,2010,3
3,8385,13081,2011,3
3,9853,13921,2012,3
3,9870,13711,2013,3
3,6934,12024,2009,4
3,9868,18321,2010,4
3,7699,12933,2011,4
3,9136,16377,2012,4
3,9236,15521,2013,4
3,4881,6872,2009,5
3,7302,12003,2010,5
3,5733,8495,2011,5
3,6823,10352,2012,5
3,6803,9920,2013,5
3,546,823,2009,6
3,700,1266,2010,6
3,533,798,2011,6
3,649,813,2012,6
3,656,765,2013,6
3,1668,2667,2009,7
3,2232,3993,2010,7
3,2032,3338,2011,7
3,2193,3612,2012,7
3,2210,3233,2013,7
3,511,602,2009,8
3,796,1122,2010,8
3,598,786,2011,8
3,616,993,2012,8
3,610,899,2013,8
3,900,1286,2009,9
3,1396,2436,2010,9
3,1289,1835,2011,9
3,1239,2037,2012,9
3,1069,1833,2013,9
3,1210,1837,2009,10
3,1844,3325,2010,10
3,1631,2338,2011,10
3,1751,3034,2012,10
3,1783,2816,2013,10
3,853,1109,2009,11
3,1221,2316,2010,11
3,1003,1400,2011,11
3,1116,1931,2012,11
3,1214,1905,2013,11
3,755,1159,2009,12
3,971,1813,2010,12
3,836,1387,2011,12
3,613,830,2012,12
3,677,837,2013,12
3,97,119,2009,13
3,175,233,2010,13
3,102,133,2011,13
3,193,270,2012,13
3,205,281,2013,13
3,736,979,2009,14
3,974,1563,2010,14
3,816,1138,2011,14
3,932,1372,2012,14
3,933,1256,2013,14
3,292,381,2009,15
3,413,616,2010,15
3,336,451,2011,15
3,411,539,2012,15
3,400,501,2013,15
3,5,6,2009,16
3,6,7,2010,16
3,5,6,2011,16
3,5,7,2012,16
3,5,7,2013,16
3,33,35,2009,17
3,30,32,2010,17
3,25,24,2011,17
3,25,25,2012,17
3,23,24,2013,17
3,2409,2970,2009,18
3,3414,5600,2010,18
3,2932,3911,2011,18
3,3136,4706,2012,18
