crops,area,production,year
1,677716,674490,2009
1,927303,1012945,2010
1,784844,816548,2011
1,854689,909741,2012
1,857024,863934,2013
2,1100299,92988,2009
2,1165014,94049,2010
2,988463,93989,2011
2,1132852,94123,2012
2,1032414,94380,2013
3,92988,988679,2009
3,94049,1036862,2010
3,93989,991091,2011
3,94123,1001411,2012
3,94380,999256,2013
4,41289,81137,2009
4,49552,98161,2010
4,45684,89820,2011
4,47966,96013,2012
4,94380,96765,2013
5,89370,92366,2009
5,90665,94679,2010
5,88785,87911,2011
5,88194,90199,2012
5,94380,87960,2013
6,163002,2119908,2009
6,166034,2175801,2010
6,155248,1970546,2011
6,158546,1954710,2012
6,158387,1933474,2013
