class,area,prod,state
6,57398,673026,1
7,381,743,1
5,30266,46132,1
4,12504,35843,1
3,23630,276909,1
2,13382,132742,1
1,216689,187656,1
6,6875,100932,2
7,40229,37616,2
5,11280,7168,2
4,11152,14206,2
3,18942,152709,2
2,7634,106247,2
1,78528,83870,2
6,6161,54522,3
7,15693,11982,3
5,822,531,3
4,3782,5192,3
3,2014,21937,3
2,12506,148138,3
1,84326,91084,3
6,1758,18462,4
7,15073,19470,4
5,1367,990,4
4,1988,3803,4
3,664,7541,4
2,9687,124509,4
1,71265,77901,4
6,8517,95779,5
7,13081,12693,5
5,840,668,5
4,863,1888,5
3,2793,30569,5
2,11198,161752,5
1,49705,46521,5
6,12013,97888,6
7,763,753,6
5,3675,3762,6
4,1068,3244,6
3,6292,85926,6
2,5308,70722,6
1,14199,25651,6
6,5496,62387,7
7,15176,19445,7
5,3629,2468,7
4,2675,6345,7
3,12572,177470,7
2,1770,16385,7
1,94760,76037,7
6,1160,9039,8
7,9601,24991,8
5,419,463,8
4,317,582,8
3,489,4022,8
2,1954,21676,8
1,22583,19928,8
6,7972,111820,9
7,7633,8666,9
5,3510,1805,9
4,234,458,9
3,5933,57762,9
2,973,8269,9
1,17885,17153,9
6,285,2957,10
7,6893,6360,10
5,3525,1768,10
4,1557,3213,10
3,828,7227,10
2,460,2902,10
1,18008,17500,10
6,8140,145085,11
7,7219,7733,11
5,2672,2547,11
4,85,226,11
3,1770,17967,11
2,1273,10902,11
1,16091,14618,11
6,7335,94410,12
7,3283,3745,12
5,9417,8622,12
4,56,119,12
3,1682,22476,12
2,4490,31820,12
1,17927,14666,12
6,11745,166724,13
7,0,0,13
5,1470,2361,13
4,2128,4872,13
3,7357,43229,13
2,4658,54069,13
1,21096,32468,13
6,8574,93465,14
7,1387,1645,14
5,1651,1643,14
4,1947,3338,14
3,2711,29808,14
2,4356,54349,14
1,30136,60918,14
6,10066,135350,15
7,109,201,15
5,1854,2020,15
4,25,70,15
3,1413,14248,15
2,2198,24879,15
1,9877,11701,15
6,1138,15229,16
7,0,0,16
5,38,47,16
4,47,78,16
3,1023,3396,16
2,151,1869,16
1,514,405,16
6,815,10367,17
7,0,0,17
5,88,136,17
4,35,83,17
3,47,618,17
2,210,2210,17
1,226,184,17
