state,holders,total_area,Cultivatble,crop_area
,,,,
1,87486,327107,314777,354250
2,88905,144900,136596,174640
3,111969,113734,103296,125304
4,177614,56445,53224,101802
5,155505,64067,58117,86997
6,14450,116592,88886,43318
7,98292,147076,136815,136078
8,34778,74956,69520,36523
9,49113,50726,40721,44140
10,44698,27443,21726,31556
11,55570,31804,26390,37250
12,28449,65071,60757,44190
13,40159,54422,51715,48454
14,28638,109245,90972,50762
15,22578,58524,49373,25542
16,3467,3973,3368,2911
17,516,3013,2834,1421
18,69395,121487,107098,104119
