state,state capital,area,population
Khartoum,Khartoum,"22,142","7,687,500"
Gezira,Wadmadani,"23,373","4,926,600"
Red Sea,Portsudan,"218,887","1,447,800"
Kassala,Kasala,"36,710","2,438,800"
Al Qadarif,Qadarif,"75,263","2,108,500"
Sennar,Singa,"37,844","1,847,500"
White Nile,Rabak,"30,411","2,410,300"
Blue Nile,Damazin,"45,844","1,080,700"
Northern,Dongula,"348,765","913,500"
River Nile,Damar,"122,123","1,472,300"
North Kordofan,Elobied,"185,302","2,206,800"
West Kordofan,Elfula,"111,373","1,737,700"
South Kordofan,Kadogli,"79,470","1,263,400"
North Darfur,Elfashir,"320,000","2,296,100"
West Darfur,Gunaina,"23,000","995,200"
South Darfur,Nyala,"72,000","3,672,400"
East Darfur,Doain,"55,000","1,547,800"
Central Darfur,Zalingi,"34,000","729,900"
,,,
